Geography,Year,All industries,Goods-producing sector,Service-producing sector
Yukon,2010,936.74,1084.08,920.85
Yukon,2011,977.41,1136.28,957.76
Yukon,2012,1003.25,1284.24,967.21
Yukon,2013,1014.24,1267.1,985.86
Yukon,2014,1041.95,1288.08,1015.35
Yukon,2015,1050.83,1225.48,1034.18
Yukon,2016,1054.59,1273.26,1031.01
Yukon,2017,1094.56,1393.67,1060.2
Yukon,2018,1117.72,1346.22,1090.97
Yukon,2019,1166.12,1475.76,1128.39
Northwest Territories,2010,1221.15,1635.64,1127.48
Northwest Territories,2011,1272.52,1701.47,1168.61
Northwest Territories,2012,1322.14,1823.06,1199.76
Northwest Territories,2013,1343.11,1853.19,1228.08
Northwest Territories,2014,1398.21,1873.38,1285.53
Northwest Territories,2015,1421.41,1864.56,1303.29
Northwest Territories,2016,1403.98,1925.28,1273.84
Northwest Territories,2017,1399.37,1927.22,1270.38
Northwest Territories,2018,1419.06,1990.7,1288.74
Northwest Territories,2019,1453.09,2067.47,1321.53
Nunavut,2010,1049.97,1431.82,1034.0
Nunavut,2011,1081.94,1431.82,1054.75
Nunavut,2012,1125.66,1490.17,1095.84
Nunavut,2013,1177.59,1479.47,1150.01
Nunavut,2014,1238.21,1630.46,1196.64
Nunavut,2015,1255.98,1573.18,1221.01
Nunavut,2016,1277.22,1646.26,1238.21
Nunavut,2017,1333.39,1748.91,1273.69
Nunavut,2018,1376.0,1896.6,1287.56
Nunavut,2019,1440.66,1999.47,1316.31
