Geography,Industry,Year,Industry GDP (current C$),Industry GDP (2012 chained C$)
Newfoundland and Labrador,Industrial production,2010,11638.6,13641.8
Newfoundland and Labrador,Industrial production,2011,14680.6,13749.0
Newfoundland and Labrador,Industrial production,2012,11542.6,11542.6
Newfoundland and Labrador,Industrial production,2013,12617.8,12475.0
Newfoundland and Labrador,Industrial production,2014,11255.1,11556.1
Newfoundland and Labrador,Industrial production,2015,7302.9,10876.1
Newfoundland and Labrador,Industrial production,2016,7208.1,11781.5
Newfoundland and Labrador,Industrial production,2017,9223.6,12591.6
Newfoundland and Labrador,Industrial production,2018,0.0,12308.3
Newfoundland and Labrador,Industrial production,2019,0.0,13462.0
Newfoundland and Labrador,Non-durable manufacturing industries,2010,628.1,611.6
Newfoundland and Labrador,Non-durable manufacturing industries,2011,637.0,578.6
Newfoundland and Labrador,Non-durable manufacturing industries,2012,664.2,664.2
Newfoundland and Labrador,Non-durable manufacturing industries,2013,604.0,625.5
Newfoundland and Labrador,Non-durable manufacturing industries,2014,629.3,570.4
Newfoundland and Labrador,Non-durable manufacturing industries,2015,866.4,568.4
Newfoundland and Labrador,Non-durable manufacturing industries,2016,928.3,557.1
Newfoundland and Labrador,Non-durable manufacturing industries,2017,1012.1,555.7
Newfoundland and Labrador,Non-durable manufacturing industries,2018,0.0,523.4
Newfoundland and Labrador,Non-durable manufacturing industries,2019,0.0,539.9
Newfoundland and Labrador,Durable manufacturing industries,2010,196.8,191.0
Newfoundland and Labrador,Durable manufacturing industries,2011,238.5,219.5
Newfoundland and Labrador,Durable manufacturing industries,2012,221.1,221.1
Newfoundland and Labrador,Durable manufacturing industries,2013,310.0,258.2
Newfoundland and Labrador,Durable manufacturing industries,2014,347.7,292.9
Newfoundland and Labrador,Durable manufacturing industries,2015,459.8,362.6
Newfoundland and Labrador,Durable manufacturing industries,2016,323.3,245.9
Newfoundland and Labrador,Durable manufacturing industries,2017,273.1,213.8
Newfoundland and Labrador,Durable manufacturing industries,2018,0.0,252.0
Newfoundland and Labrador,Durable manufacturing industries,2019,0.0,250.4
Newfoundland and Labrador,Information and communication technology sector,2010,617.6,684.9
Newfoundland and Labrador,Information and communication technology sector,2011,685.6,735.9
Newfoundland and Labrador,Information and communication technology sector,2012,733.5,733.5
Newfoundland and Labrador,Information and communication technology sector,2013,657.8,699.6
Newfoundland and Labrador,Information and communication technology sector,2014,645.9,709.3
Newfoundland and Labrador,Information and communication technology sector,2015,677.4,751.4
Newfoundland and Labrador,Information and communication technology sector,2016,696.2,786.4
Newfoundland and Labrador,Information and communication technology sector,2017,751.5,821.4
Newfoundland and Labrador,Information and communication technology sector,2018,0.0,837.2
Newfoundland and Labrador,Information and communication technology sector,2019,0.0,888.1
Newfoundland and Labrador,Energy sector,2010,8363.8,10695.0
Newfoundland and Labrador,Energy sector,2011,10753.5,10473.7
Newfoundland and Labrador,Energy sector,2012,8131.6,8131.5
Newfoundland and Labrador,Energy sector,2013,9244.0,9028.7
Newfoundland and Labrador,Energy sector,2014,8376.6,8442.8
Newfoundland and Labrador,Energy sector,2015,4545.2,7281.4
Newfoundland and Labrador,Energy sector,2016,4461.4,8561.6
Newfoundland and Labrador,Energy sector,2017,5886.4,9143.2
Newfoundland and Labrador,Energy sector,2018,0.0,9655.9
Newfoundland and Labrador,Energy sector,2019,0.0,10644.5
Newfoundland and Labrador,Public sector,2010,5409.7,5851.9
Newfoundland and Labrador,Public sector,2011,5799.5,5963.8
Newfoundland and Labrador,Public sector,2012,6004.3,6004.3
Newfoundland and Labrador,Public sector,2013,6122.0,5930.4
Newfoundland and Labrador,Public sector,2014,6217.1,5906.4
Newfoundland and Labrador,Public sector,2015,6412.5,5962.3
Newfoundland and Labrador,Public sector,2016,6593.3,5985.8
Newfoundland and Labrador,Public sector,2017,6681.1,6023.2
Newfoundland and Labrador,Public sector,2018,0.0,6096.4
Newfoundland and Labrador,Public sector,2019,0.0,6166.7
Newfoundland and Labrador,Cannabis sector,2010,21.2,21.8
Newfoundland and Labrador,Cannabis sector,2011,22.8,23.2
Newfoundland and Labrador,Cannabis sector,2012,24.4,24.4
Newfoundland and Labrador,Cannabis sector,2013,25.8,25.7
Newfoundland and Labrador,Cannabis sector,2014,25.3,26.8
Newfoundland and Labrador,Cannabis sector,2015,23.6,26.9
Newfoundland and Labrador,Cannabis sector,2016,21.9,26.3
Newfoundland and Labrador,Cannabis sector,2017,19.6,25.8
Newfoundland and Labrador,Cannabis sector,2018,0.0,28.9
Newfoundland and Labrador,Cannabis sector,2019,0.0,33.3
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2010,383.6,461.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2011,464.8,454.3
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2012,450.4,450.4
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2013,514.8,450.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2014,503.0,386.1
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2015,614.4,378.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2016,615.1,344.5
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2017,596.9,299.6
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2018,0.0,280.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2019,0.0,283.3
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2010,10189.0,12419.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2011,13168.4,12553.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2012,10040.6,10040.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2013,11081.6,11076.9
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2014,9764.0,10178.4
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2015,5329.0,9252.9
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2016,5328.9,10616.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2017,7311.5,11632.8
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2018,0.0,11267.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2019,0.0,12519.7
Newfoundland and Labrador,Utilities,2010,601.7,578.4
Newfoundland and Labrador,Utilities,2011,609.4,589.3
Newfoundland and Labrador,Utilities,2012,584.8,584.8
Newfoundland and Labrador,Utilities,2013,586.5,563.8
Newfoundland and Labrador,Utilities,2014,473.6,556.1
Newfoundland and Labrador,Utilities,2015,602.4,608.4
Newfoundland and Labrador,Utilities,2016,584.9,622.6
Newfoundland and Labrador,Utilities,2017,580.3,634.1
Newfoundland and Labrador,Utilities,2018,0.0,657.4
Newfoundland and Labrador,Utilities,2019,0.0,657.9
Newfoundland and Labrador,Construction,2010,1734.8,1891.2
Newfoundland and Labrador,Construction,2011,2048.1,2204.8
Newfoundland and Labrador,Construction,2012,2747.9,2747.9
Newfoundland and Labrador,Construction,2013,3514.4,3144.1
Newfoundland and Labrador,Construction,2014,4104.1,3494.0
Newfoundland and Labrador,Construction,2015,4253.7,3610.8
Newfoundland and Labrador,Construction,2016,4086.1,3446.5
Newfoundland and Labrador,Construction,2017,3828.0,3271.5
Newfoundland and Labrador,Construction,2018,0.0,2515.5
Newfoundland and Labrador,Construction,2019,0.0,2622.8
Newfoundland and Labrador,Manufacturing,2010,825.0,807.3
Newfoundland and Labrador,Manufacturing,2011,875.5,787.9
Newfoundland and Labrador,Manufacturing,2012,885.3,885.3
Newfoundland and Labrador,Manufacturing,2013,914.1,868.2
Newfoundland and Labrador,Manufacturing,2014,977.0,828.1
Newfoundland and Labrador,Manufacturing,2015,1326.1,891.6
Newfoundland and Labrador,Manufacturing,2016,1251.5,781.9
Newfoundland and Labrador,Manufacturing,2017,1285.1,755.1
Newfoundland and Labrador,Manufacturing,2018,0.0,756.5
Newfoundland and Labrador,Manufacturing,2019,0.0,770.6
Newfoundland and Labrador,Wholesale trade,2010,499.7,531.2
Newfoundland and Labrador,Wholesale trade,2011,615.4,643.1
Newfoundland and Labrador,Wholesale trade,2012,687.9,687.9
Newfoundland and Labrador,Wholesale trade,2013,700.3,732.8
Newfoundland and Labrador,Wholesale trade,2014,698.6,738.3
Newfoundland and Labrador,Wholesale trade,2015,697.5,715.8
Newfoundland and Labrador,Wholesale trade,2016,686.8,684.2
Newfoundland and Labrador,Wholesale trade,2017,687.8,670.0
Newfoundland and Labrador,Wholesale trade,2018,0.0,652.6
Newfoundland and Labrador,Wholesale trade,2019,0.0,643.7
Newfoundland and Labrador,Retail trade,2010,1358.5,1400.7
Newfoundland and Labrador,Retail trade,2011,1412.0,1434.5
Newfoundland and Labrador,Retail trade,2012,1477.1,1477.1
Newfoundland and Labrador,Retail trade,2013,1584.7,1585.3
Newfoundland and Labrador,Retail trade,2014,1603.4,1617.6
Newfoundland and Labrador,Retail trade,2015,1602.2,1584.1
Newfoundland and Labrador,Retail trade,2016,1610.0,1588.8
Newfoundland and Labrador,Retail trade,2017,1629.4,1587.7
Newfoundland and Labrador,Retail trade,2018,0.0,1539.7
Newfoundland and Labrador,Retail trade,2019,0.0,1526.8
Newfoundland and Labrador,Transportation and warehousing,2010,659.3,693.3
Newfoundland and Labrador,Transportation and warehousing,2011,728.7,717.0
Newfoundland and Labrador,Transportation and warehousing,2012,762.8,762.8
Newfoundland and Labrador,Transportation and warehousing,2013,773.0,776.2
Newfoundland and Labrador,Transportation and warehousing,2014,874.4,851.1
Newfoundland and Labrador,Transportation and warehousing,2015,963.0,881.8
Newfoundland and Labrador,Transportation and warehousing,2016,980.8,918.2
Newfoundland and Labrador,Transportation and warehousing,2017,1007.3,968.2
Newfoundland and Labrador,Transportation and warehousing,2018,0.0,940.6
Newfoundland and Labrador,Transportation and warehousing,2019,0.0,965.4
Newfoundland and Labrador,Information and cultural industries,2010,603.7,680.6
Newfoundland and Labrador,Information and cultural industries,2011,635.0,691.8
Newfoundland and Labrador,Information and cultural industries,2012,687.7,687.7
Newfoundland and Labrador,Information and cultural industries,2013,682.4,661.3
Newfoundland and Labrador,Information and cultural industries,2014,666.3,677.0
Newfoundland and Labrador,Information and cultural industries,2015,683.5,712.0
Newfoundland and Labrador,Information and cultural industries,2016,700.3,738.6
Newfoundland and Labrador,Information and cultural industries,2017,706.9,742.0
Newfoundland and Labrador,Information and cultural industries,2018,0.0,736.9
Newfoundland and Labrador,Information and cultural industries,2019,0.0,747.8
Newfoundland and Labrador,Finance and insurance,2010,852.5,828.6
Newfoundland and Labrador,Finance and insurance,2011,906.9,859.9
Newfoundland and Labrador,Finance and insurance,2012,877.0,877.0
Newfoundland and Labrador,Finance and insurance,2013,914.0,889.0
Newfoundland and Labrador,Finance and insurance,2014,945.6,880.6
Newfoundland and Labrador,Finance and insurance,2015,972.8,900.5
Newfoundland and Labrador,Finance and insurance,2016,975.0,913.5
Newfoundland and Labrador,Finance and insurance,2017,979.3,918.1
Newfoundland and Labrador,Finance and insurance,2018,0.0,901.8
Newfoundland and Labrador,Finance and insurance,2019,0.0,924.2
Newfoundland and Labrador,Real estate and rental and leasing,2010,2098.6,2232.0
Newfoundland and Labrador,Real estate and rental and leasing,2011,2247.8,2321.4
Newfoundland and Labrador,Real estate and rental and leasing,2012,2412.2,2412.2
Newfoundland and Labrador,Real estate and rental and leasing,2013,2589.7,2530.1
Newfoundland and Labrador,Real estate and rental and leasing,2014,2760.5,2653.7
Newfoundland and Labrador,Real estate and rental and leasing,2015,2846.0,2724.0
Newfoundland and Labrador,Real estate and rental and leasing,2016,2931.9,2756.0
Newfoundland and Labrador,Real estate and rental and leasing,2017,2967.4,2790.0
Newfoundland and Labrador,Real estate and rental and leasing,2018,0.0,2843.8
Newfoundland and Labrador,Real estate and rental and leasing,2019,0.0,2860.9
Newfoundland and Labrador,Professional scientific and technical services,2010,615.3,735.2
Newfoundland and Labrador,Professional scientific and technical services,2011,671.0,779.2
Newfoundland and Labrador,Professional scientific and technical services,2012,815.2,815.2
Newfoundland and Labrador,Professional scientific and technical services,2013,848.6,803.0
Newfoundland and Labrador,Professional scientific and technical services,2014,922.2,855.9
Newfoundland and Labrador,Professional scientific and technical services,2015,964.5,824.8
Newfoundland and Labrador,Professional scientific and technical services,2016,972.6,818.8
Newfoundland and Labrador,Professional scientific and technical services,2017,1009.5,824.6
Newfoundland and Labrador,Professional scientific and technical services,2018,0.0,869.6
Newfoundland and Labrador,Professional scientific and technical services,2019,0.0,880.2
Newfoundland and Labrador,Management of companies and enterprises,2010,105.1,112.8
Newfoundland and Labrador,Management of companies and enterprises,2011,113.9,122.2
Newfoundland and Labrador,Management of companies and enterprises,2012,131.7,131.7
Newfoundland and Labrador,Management of companies and enterprises,2013,122.3,127.9
Newfoundland and Labrador,Management of companies and enterprises,2014,116.0,117.4
Newfoundland and Labrador,Management of companies and enterprises,2015,116.7,114.8
Newfoundland and Labrador,Management of companies and enterprises,2016,96.9,96.9
Newfoundland and Labrador,Management of companies and enterprises,2017,84.1,89.1
Newfoundland and Labrador,Management of companies and enterprises,2018,0.0,76.5
Newfoundland and Labrador,Management of companies and enterprises,2019,0.0,63.5
Newfoundland and Labrador,Administrative and support waste management and remediation services,2010,331.1,349.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2011,348.9,358.0
Newfoundland and Labrador,Administrative and support waste management and remediation services,2012,375.1,375.1
Newfoundland and Labrador,Administrative and support waste management and remediation services,2013,375.9,367.8
Newfoundland and Labrador,Administrative and support waste management and remediation services,2014,395.7,378.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2015,391.6,357.7
Newfoundland and Labrador,Administrative and support waste management and remediation services,2016,429.7,376.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2017,436.3,367.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2018,0.0,358.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2019,0.0,371.9
Newfoundland and Labrador,Educational services,2010,1480.2,1610.0
Newfoundland and Labrador,Educational services,2011,1561.6,1614.4
Newfoundland and Labrador,Educational services,2012,1637.7,1637.7
Newfoundland and Labrador,Educational services,2013,1655.5,1632.8
Newfoundland and Labrador,Educational services,2014,1672.0,1627.0
Newfoundland and Labrador,Educational services,2015,1704.4,1621.0
Newfoundland and Labrador,Educational services,2016,1777.5,1616.4
Newfoundland and Labrador,Educational services,2017,1741.8,1607.0
Newfoundland and Labrador,Educational services,2018,0.0,1622.8
Newfoundland and Labrador,Educational services,2019,0.0,1628.4
Newfoundland and Labrador,Health care and social assistance,2010,2048.8,2193.6
Newfoundland and Labrador,Health care and social assistance,2011,2189.6,2257.2
Newfoundland and Labrador,Health care and social assistance,2012,2257.6,2257.6
Newfoundland and Labrador,Health care and social assistance,2013,2303.0,2206.7
Newfoundland and Labrador,Health care and social assistance,2014,2372.9,2201.1
Newfoundland and Labrador,Health care and social assistance,2015,2482.8,2231.9
Newfoundland and Labrador,Health care and social assistance,2016,2579.3,2263.1
Newfoundland and Labrador,Health care and social assistance,2017,2617.5,2263.1
Newfoundland and Labrador,Health care and social assistance,2018,0.0,2279.4
Newfoundland and Labrador,Health care and social assistance,2019,0.0,2327.7
Newfoundland and Labrador,Arts entertainment and recreation,2010,73.5,71.8
Newfoundland and Labrador,Arts entertainment and recreation,2011,74.2,72.5
Newfoundland and Labrador,Arts entertainment and recreation,2012,73.9,73.9
Newfoundland and Labrador,Arts entertainment and recreation,2013,78.9,73.7
Newfoundland and Labrador,Arts entertainment and recreation,2014,73.7,72.5
Newfoundland and Labrador,Arts entertainment and recreation,2015,77.6,69.4
Newfoundland and Labrador,Arts entertainment and recreation,2016,92.1,73.1
Newfoundland and Labrador,Arts entertainment and recreation,2017,99.4,78.0
Newfoundland and Labrador,Arts entertainment and recreation,2018,0.0,81.3
Newfoundland and Labrador,Arts entertainment and recreation,2019,0.0,84.3
Newfoundland and Labrador,Accommodation and food services,2010,410.2,429.0
Newfoundland and Labrador,Accommodation and food services,2011,441.0,452.5
Newfoundland and Labrador,Accommodation and food services,2012,466.3,466.3
Newfoundland and Labrador,Accommodation and food services,2013,509.6,489.3
Newfoundland and Labrador,Accommodation and food services,2014,540.9,507.9
Newfoundland and Labrador,Accommodation and food services,2015,560.3,512.6
Newfoundland and Labrador,Accommodation and food services,2016,573.6,514.7
Newfoundland and Labrador,Accommodation and food services,2017,594.2,515.0
Newfoundland and Labrador,Accommodation and food services,2018,0.0,516.4
Newfoundland and Labrador,Accommodation and food services,2019,0.0,536.6
Newfoundland and Labrador,Other services (except public administration),2010,431.9,473.8
Newfoundland and Labrador,Other services (except public administration),2011,453.6,479.0
Newfoundland and Labrador,Other services (except public administration),2012,496.9,496.9
Newfoundland and Labrador,Other services (except public administration),2013,491.1,517.8
Newfoundland and Labrador,Other services (except public administration),2014,500.6,521.4
Newfoundland and Labrador,Other services (except public administration),2015,510.4,528.2
Newfoundland and Labrador,Other services (except public administration),2016,495.5,523.2
Newfoundland and Labrador,Other services (except public administration),2017,518.2,527.3
Newfoundland and Labrador,Other services (except public administration),2018,0.0,524.5
Newfoundland and Labrador,Other services (except public administration),2019,0.0,526.1
Newfoundland and Labrador,Public administration,2010,1880.6,2067.7
Newfoundland and Labrador,Public administration,2011,2048.3,2111.7
Newfoundland and Labrador,Public administration,2012,2108.9,2108.9
Newfoundland and Labrador,Public administration,2013,2163.4,2090.5
Newfoundland and Labrador,Public administration,2014,2172.3,2072.8
Newfoundland and Labrador,Public administration,2015,2225.4,2103.3
Newfoundland and Labrador,Public administration,2016,2236.5,2098.9
Newfoundland and Labrador,Public administration,2017,2321.8,2146.9
Newfoundland and Labrador,Public administration,2018,0.0,2188.7
Newfoundland and Labrador,Public administration,2019,0.0,2203.1
Prince Edward Island,All industries,2010,4762.2,4948.2
Prince Edward Island,All industries,2011,4941.8,5043.5
Prince Edward Island,All industries,2012,5090.7,5090.7
Prince Edward Island,All industries,2013,5257.0,5187.4
Prince Edward Island,All industries,2014,5332.0,5205.6
Prince Edward Island,All industries,2015,5551.8,5280.7
Prince Edward Island,All industries,2016,5803.4,5393.8
Prince Edward Island,All industries,2017,6156.5,5635.9
Prince Edward Island,All industries,2018,0.0,5783.1
Prince Edward Island,All industries,2019,0.0,6076.8
Prince Edward Island,Goods-producing industries,2010,1044.2,1078.8
Prince Edward Island,Goods-producing industries,2011,1067.0,1106.4
Prince Edward Island,Goods-producing industries,2012,1111.2,1111.2
Prince Edward Island,Goods-producing industries,2013,1183.3,1159.5
Prince Edward Island,Goods-producing industries,2014,1172.0,1153.8
Prince Edward Island,Goods-producing industries,2015,1301.0,1203.5
Prince Edward Island,Goods-producing industries,2016,1462.7,1262.5
Prince Edward Island,Goods-producing industries,2017,1626.6,1407.4
Prince Edward Island,Goods-producing industries,2018,0.0,1441.9
Prince Edward Island,Goods-producing industries,2019,0.0,1573.9
Prince Edward Island,Service-producing industries,2010,3718.0,3869.4
Prince Edward Island,Service-producing industries,2011,3874.8,3936.8
Prince Edward Island,Service-producing industries,2012,3979.5,3979.4
Prince Edward Island,Service-producing industries,2013,4073.7,4026.1
Prince Edward Island,Service-producing industries,2014,4160.0,4050.2
Prince Edward Island,Service-producing industries,2015,4250.8,4075.1
Prince Edward Island,Service-producing industries,2016,4340.7,4126.9
Prince Edward Island,Service-producing industries,2017,4529.8,4216.1
Prince Edward Island,Service-producing industries,2018,0.0,4328.7
Prince Edward Island,Service-producing industries,2019,0.0,4484.7
Prince Edward Island,Industrial production,2010,503.6,450.8
Prince Edward Island,Industrial production,2011,474.9,461.0
Prince Edward Island,Industrial production,2012,477.3,477.3
Prince Edward Island,Industrial production,2013,520.7,507.5
Prince Edward Island,Industrial production,2014,564.7,557.1
Prince Edward Island,Industrial production,2015,660.7,606.6
Prince Edward Island,Industrial production,2016,748.1,633.1
Prince Edward Island,Industrial production,2017,802.4,692.5
Prince Edward Island,Industrial production,2018,0.0,727.6
Prince Edward Island,Industrial production,2019,0.0,766.2
Prince Edward Island,Non-durable manufacturing industries,2010,269.6,240.0
Prince Edward Island,Non-durable manufacturing industries,2011,264.5,248.2
Prince Edward Island,Non-durable manufacturing industries,2012,258.7,258.7
Prince Edward Island,Non-durable manufacturing industries,2013,289.9,285.9
Prince Edward Island,Non-durable manufacturing industries,2014,328.0,334.0
Prince Edward Island,Non-durable manufacturing industries,2015,375.1,343.9
Prince Edward Island,Non-durable manufacturing industries,2016,451.6,361.6
Prince Edward Island,Non-durable manufacturing industries,2017,451.1,379.1
Prince Edward Island,Non-durable manufacturing industries,2018,0.0,397.2
Prince Edward Island,Non-durable manufacturing industries,2019,0.0,425.5
Prince Edward Island,Durable manufacturing industries,2010,145.8,132.3
Prince Edward Island,Durable manufacturing industries,2011,123.3,128.2
Prince Edward Island,Durable manufacturing industries,2012,134.6,134.6
Prince Edward Island,Durable manufacturing industries,2013,137.3,135.3
Prince Edward Island,Durable manufacturing industries,2014,140.6,129.7
Prince Edward Island,Durable manufacturing industries,2015,190.6,166.7
Prince Edward Island,Durable manufacturing industries,2016,193.5,170.0
Prince Edward Island,Durable manufacturing industries,2017,239.8,200.6
Prince Edward Island,Durable manufacturing industries,2018,0.0,213.8
Prince Edward Island,Durable manufacturing industries,2019,0.0,220.3
Prince Edward Island,Information and communication technology sector,2010,158.0,164.8
Prince Edward Island,Information and communication technology sector,2011,163.3,170.1
Prince Edward Island,Information and communication technology sector,2012,173.3,173.3
Prince Edward Island,Information and communication technology sector,2013,170.6,172.4
Prince Edward Island,Information and communication technology sector,2014,180.4,178.8
Prince Edward Island,Information and communication technology sector,2015,197.3,188.7
Prince Edward Island,Information and communication technology sector,2016,197.2,197.8
Prince Edward Island,Information and communication technology sector,2017,206.6,204.6
Prince Edward Island,Information and communication technology sector,2018,0.0,213.9
Prince Edward Island,Information and communication technology sector,2019,0.0,224.4
Prince Edward Island,Energy sector,2010,70.1,60.2
Prince Edward Island,Energy sector,2011,67.5,64.0
Prince Edward Island,Energy sector,2012,62.8,62.8
Prince Edward Island,Energy sector,2013,66.0,59.3
Prince Edward Island,Energy sector,2014,68.5,64.6
Prince Edward Island,Energy sector,2015,65.8,67.4
Prince Edward Island,Energy sector,2016,71.7,70.0
Prince Edward Island,Energy sector,2017,71.4,70.8
Prince Edward Island,Energy sector,2018,0.0,74.6
Prince Edward Island,Energy sector,2019,0.0,76.4
Prince Edward Island,Public sector,2010,1493.1,1618.5
Prince Edward Island,Public sector,2011,1572.5,1652.7
Prince Edward Island,Public sector,2012,1609.2,1609.2
Prince Edward Island,Public sector,2013,1634.9,1601.6
Prince Edward Island,Public sector,2014,1653.2,1588.5
Prince Edward Island,Public sector,2015,1683.3,1597.4
Prince Edward Island,Public sector,2016,1715.7,1614.3
Prince Edward Island,Public sector,2017,1799.5,1644.5
Prince Edward Island,Public sector,2018,0.0,1689.3
Prince Edward Island,Public sector,2019,0.0,1743.0
Prince Edward Island,Cannabis sector,2010,6.8,7.1
Prince Edward Island,Cannabis sector,2011,7.4,7.5
Prince Edward Island,Cannabis sector,2012,8.8,8.8
Prince Edward Island,Cannabis sector,2013,9.6,9.7
Prince Edward Island,Cannabis sector,2014,10.4,11.2
Prince Edward Island,Cannabis sector,2015,11.9,13.9
Prince Edward Island,Cannabis sector,2016,13.9,17.0
Prince Edward Island,Cannabis sector,2017,15.7,20.2
Prince Edward Island,Cannabis sector,2018,0.0,24.9
Prince Edward Island,Cannabis sector,2019,0.0,39.0
Prince Edward Island,Agriculture forestry fishing and hunting,2010,242.4,322.8
Prince Edward Island,Agriculture forestry fishing and hunting,2011,289.7,308.0
Prince Edward Island,Agriculture forestry fishing and hunting,2012,330.0,330.0
Prince Edward Island,Agriculture forestry fishing and hunting,2013,345.4,336.3
Prince Edward Island,Agriculture forestry fishing and hunting,2014,320.4,335.0
Prince Edward Island,Agriculture forestry fishing and hunting,2015,363.8,339.8
Prince Edward Island,Agriculture forestry fishing and hunting,2016,406.1,342.4
Prince Edward Island,Agriculture forestry fishing and hunting,2017,441.9,365.8
Prince Edward Island,Agriculture forestry fishing and hunting,2018,0.0,367.5
Prince Edward Island,Agriculture forestry fishing and hunting,2019,0.0,406.4
Prince Edward Island,Mining quarrying and oil and gas extraction,2010,2.5,2.4
Prince Edward Island,Mining quarrying and oil and gas extraction,2011,2.5,2.5
Prince Edward Island,Mining quarrying and oil and gas extraction,2012,3.0,3.0
Prince Edward Island,Mining quarrying and oil and gas extraction,2013,3.2,2.9
Prince Edward Island,Mining quarrying and oil and gas extraction,2014,3.7,2.6
Prince Edward Island,Mining quarrying and oil and gas extraction,2015,3.4,1.8
Prince Edward Island,Mining quarrying and oil and gas extraction,2016,5.3,4.0
Prince Edward Island,Mining quarrying and oil and gas extraction,2017,5.4,4.3
Prince Edward Island,Mining quarrying and oil and gas extraction,2018,0.0,3.0
Prince Edward Island,Mining quarrying and oil and gas extraction,2019,0.0,3.2
Prince Edward Island,Utilities,2010,75.3,65.7
Prince Edward Island,Utilities,2011,73.1,69.8
Prince Edward Island,Utilities,2012,69.3,69.3
Prince Edward Island,Utilities,2013,78.6,70.2
Prince Edward Island,Utilities,2014,79.9,74.6
Prince Edward Island,Utilities,2015,80.3,78.1
Prince Edward Island,Utilities,2016,86.7,80.5
Prince Edward Island,Utilities,2017,95.2,92.0
Prince Edward Island,Utilities,2018,0.0,96.3
Prince Edward Island,Utilities,2019,0.0,98.5
Prince Edward Island,Construction,2010,308.5,320.8
Prince Edward Island,Construction,2011,313.8,352.7
Prince Edward Island,Construction,2012,315.6,315.6
Prince Edward Island,Construction,2013,329.1,326.9
Prince Edward Island,Construction,2014,299.5,267.7
Prince Edward Island,Construction,2015,287.8,261.5
Prince Edward Island,Construction,2016,319.4,291.4
Prince Edward Island,Construction,2017,393.2,355.0
Prince Edward Island,Construction,2018,0.0,352.8
Prince Edward Island,Construction,2019,0.0,408.4
