Geography,Year,All industries,Goods-producing sector,Service-producing sector
Saskatchewan,2011,0.038011280155457516,0.034737494586860596,0.03487477890851287
Saskatchewan,2012,0.04871923656454058,0.06760216642048267,0.038913590032572554
Saskatchewan,2013,0.029954719609891933,0.02406647296653297,0.026285986767598413
Saskatchewan,2014,0.02988670950287453,0.05474784018494483,0.022952723893599813
Saskatchewan,2015,0.005315437343512697,-0.010190502622346442,0.01502282379124753
Saskatchewan,2016,0.007757476778605499,0.008814373323938973,0.012641376455716058
Saskatchewan,2017,0.021867720044566052,0.015236927813450984,0.024028104596824917
Saskatchewan,2018,0.005183914995688266,0.004892773156435437,0.006926014628778621
Saskatchewan,2019,0.026505738965802772,0.03411059573041242,0.024599297162938294
Alberta,2010,0.0,0.0,0.0
Alberta,2011,0.04381323585839203,0.034190735459958654,0.04386398372769151
Alberta,2012,0.034660888239675725,0.03765132415143868,0.029525738693909842
Alberta,2013,0.03537903436927348,0.04202141900937084,0.02764173741953413
Alberta,2014,0.03772801155860561,0.051612944667840166,0.028032423545570895
Alberta,2015,-0.003289301937033362,-0.0155943633065182,0.014332419000576913
Alberta,2016,-0.02379954601012746,0.003046661702655884,-0.02158402602456766
Alberta,2017,0.010490636235175987,-0.013127045301297269,0.019510453850076548
Alberta,2018,0.01656827776646863,0.007434384970757657,0.02223822814441334
Alberta,2019,0.01402589261616427,0.014615935040288797,0.019552580588338753
British Columbia,2010,0.0,0.0,0.0
British Columbia,2011,0.02826764436296969,0.03260655673186674,0.02560558946600633
British Columbia,2012,0.029938909886139564,0.041896141019533095,0.026251434845535604
British Columbia,2013,0.01074350600643914,0.026329025944927587,0.006759714049506371
British Columbia,2014,0.02415856053340626,0.022053713043323375,0.02516665056516265
British Columbia,2015,0.015461963792027023,0.0037837507955467142,0.018541205296140895
British Columbia,2016,0.01035228507755992,0.005463151952056489,0.01243263247981874
British Columbia,2017,0.025132016428711212,0.0282816765142877,0.02349756114277879
British Columbia,2018,0.027102080617295687,0.03254422957374947,0.025123328645728638
British Columbia,2019,0.0295963014942624,0.029118393647487695,0.0298642336879007
Yukon,2010,0.0,0.0,0.0
Yukon,2011,0.043416529666716386,0.048151427938897484,0.04008253244285176
Yukon,2012,0.026437216725836654,0.13021438377864625,0.00986677246909462
Yukon,2013,0.010954398205831106,-0.013346415000311529,0.019282265485261796
Yukon,2014,0.027320949676605144,0.01655749348906954,0.02991296938713406
Yukon,2015,0.008522481884927213,-0.048599465871684955,0.01854532919682872
Yukon,2016,0.003578123959156132,0.03898880438685248,-0.003065230424104226
Yukon,2017,0.0379009852170038,0.09456827356549335,0.028312043530130726
Yukon,2018,0.021159187253325662,-0.03404679730495741,0.029022825881908965
Yukon,2019,0.04330243710410464,0.09622498551499747,0.034299751597202555
Northwest Territories,2010,0.0,0.0,0.0
Northwest Territories,2011,0.04206690414772951,0.04024724266953594,0.03647958278639085
Northwest Territories,2012,0.038993493226039844,0.0714617360282579,0.026655599387306328
Northwest Territories,2013,0.015860650158076917,0.016527157636062606,0.02360472094418875
Northwest Territories,2014,0.04102419012590186,0.010894727469930254,0.04678034004299403
Northwest Territories,2015,0.016592643451269762,-0.004708067770553881,0.013815313528272366
Northwest Territories,2016,-0.012262471770988048,0.03256532372248677,-0.022596659223964033
Northwest Territories,2017,-0.003283522557301466,0.0010076456411536316,-0.00271619669660228
Northwest Territories,2018,0.014070617492157211,0.0329386370004463,0.014452368582628772
Northwest Territories,2019,0.023980663255958046,0.03856432410709787,0.02544345639927359
Nunavut,2010,0.0,0.0,0.0
Nunavut,2011,0.030448489004447854,0.0,0.02006769825918764
Nunavut,2012,0.04040889513281698,0.04075232920339156,0.03895709883858722
Nunavut,2013,0.046132935344597614,-0.007180388814699068,0.049432398890349116
Nunavut,2014,0.051478018665240155,0.1020568176441563,0.04054747350023047
Nunavut,2015,0.014351362046825633,-0.035131189970928456,0.02036535633106018
Nunavut,2016,0.016911097310466694,0.046453679807777926,0.01408669871663637
Nunavut,2017,0.043978327930975114,0.06235345571173445,0.02865426704678531
Nunavut,2018,0.031956141863970666,0.08444688405921386,0.010889619923215133
Nunavut,2019,0.04699127906976752,0.054239164821259234,0.022329056509987844
