"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Current dollars","Chained (2012) dollars 9"
,,"2012","6,004.3","6,004.3"
,,"2013","6,122.0","5,930.4"
,,"2014","6,217.1","5,906.4"
,,"2015","6,412.5","5,962.3"
,,"2016","6,593.3","5,985.8"
,,"2017","6,681.1","6,023.2"
,,"2018","..","6,096.4"
,,"2019","..","6,166.7"
,"Cannabis sector  [T021] 19","2010","21.2","21.8"
,,"2011","22.8","23.2"
,,"2012","24.4","24.4"
,,"2013","25.8","25.7"
,,"2014","25.3","26.8"
,,"2015","23.6","26.9"
,,"2016","21.9","26.3"
,,"2017","19.6","25.8"
,,"2018","..","28.9"
,,"2019","..","33.3"
,"Agriculture, forestry, fishing and hunting  [11]","2010","383.6","461.0"
,,"2011","464.8","454.3"
,,"2012","450.4","450.4"
,,"2013","514.8","450.2"
,,"2014","503.0","386.1"
,,"2015","614.4","378.2"
,,"2016","615.1","344.5"
,,"2017","596.9","299.6"
,,"2018","..","280.0"
,,"2019","..","283.3"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","10,189.0","12,419.2"
,,"2011","13,168.4","12,553.6"
,,"2012","10,040.6","10,040.6"
,,"2013","11,081.6","11,076.9"
,,"2014","9,764.0","10,178.4"
,,"2015","5,329.0","9,252.9"
,,"2016","5,328.9","10,616.2"
,,"2017","7,311.5","11,632.8"
,,"2018","..","11,267.2"
,,"2019","..","12,519.7"
,"Utilities  [22]","2010","601.7","578.4"
,,"2011","609.4","589.3"
,,"2012","584.8","584.8"
,,"2013","586.5","563.8"
,,"2014","473.6","556.1"
,,"2015","602.4","608.4"
,,"2016","584.9","622.6"
,,"2017","580.3","634.1"
,,"2018","..","657.4"
,,"2019","..","657.9"
,"Construction  [23]","2010","1,734.8","1,891.2"
,,"2011","2,048.1","2,204.8"
,,"2012","2,747.9","2,747.9"
,,"2013","3,514.4","3,144.1"
,,"2014","4,104.1","3,494.0"
,,"2015","4,253.7","3,610.8"
,,"2016","4,086.1","3,446.5"
,,"2017","3,828.0","3,271.5"
,,"2018","..","2,515.5"
,,"2019","..","2,622.8"
,"Manufacturing  [31-33]","2010","825.0","807.3"
,,"2011","875.5","787.9"
,,"2012","885.3","885.3"
,,"2013","914.1","868.2"
,,"2014","977.0","828.1"
,,"2015","1,326.1","891.6"
,,"2016","1,251.5","781.9"
,,"2017","1,285.1","755.1"
,,"2018","..","756.5"
,,"2019","..","770.6"
,"Wholesale trade  [41]","2010","499.7","531.2"
,,"2011","615.4","643.1"
,,"2012","687.9","687.9"
,,"2013","700.3","732.8"
,,"2014","698.6","738.3"
,,"2015","697.5","715.8"
,,"2016","686.8","684.2"
,,"2017","687.8","670.0"
,,"2018","..","652.6"
,,"2019","..","643.7"
,"Retail trade  [44-45]","2010","1,358.5","1,400.7"
,,"2011","1,412.0","1,434.5"
,,"2012","1,477.1","1,477.1"
,,"2013","1,584.7","1,585.3"
,,"2014","1,603.4","1,617.6"
,,"2015","1,602.2","1,584.1"
,,"2016","1,610.0","1,588.8"
,,"2017","1,629.4","1,587.7"
,,"2018","..","1,539.7"
,,"2019","..","1,526.8"
,"Transportation and warehousing  [48-49]","2010","659.3","693.3"
,,"2011","728.7","717.0"
,,"2012","762.8","762.8"
,,"2013","773.0","776.2"
,,"2014","874.4","851.1"
,,"2015","963.0","881.8"
,,"2016","980.8","918.2"
,,"2017","1,007.3","968.2"
,,"2018","..","940.6"
,,"2019","..","965.4"
,"Information and cultural industries  [51]","2010","603.7","680.6"
,,"2011","635.0","691.8"
,,"2012","687.7","687.7"
,,"2013","682.4","661.3"
,,"2014","666.3","677.0"
,,"2015","683.5","712.0"
,,"2016","700.3","738.6"
,,"2017","706.9","742.0"
,,"2018","..","736.9"
,,"2019","..","747.8"
,"Finance and insurance  [52]","2010","852.5","828.6"
,,"2011","906.9","859.9"
,,"2012","877.0","877.0"
,,"2013","914.0","889.0"
,,"2014","945.6","880.6"
,,"2015","972.8","900.5"
,,"2016","975.0","913.5"
,,"2017","979.3","918.1"
,,"2018","..","901.8"
,,"2019","..","924.2"
,"Real estate and rental and leasing  [53]","2010","2,098.6","2,232.0"
,,"2011","2,247.8","2,321.4"
,,"2012","2,412.2","2,412.2"
,,"2013","2,589.7","2,530.1"
,,"2014","2,760.5","2,653.7"
,,"2015","2,846.0","2,724.0"
,,"2016","2,931.9","2,756.0"
,,"2017","2,967.4","2,790.0"
,,"2018","..","2,843.8"
,,"2019","..","2,860.9"
,"Professional, scientific and technical services  [54]","2010","615.3","735.2"
,,"2011","671.0","779.2"
,,"2012","815.2","815.2"
,,"2013","848.6","803.0"
,,"2014","922.2","855.9"
,,"2015","964.5","824.8"
,,"2016","972.6","818.8"
,,"2017","1,009.5","824.6"
,,"2018","..","869.6"
,,"2019","..","880.2"
,"Management of companies and enterprises  [55]","2010","105.1","112.8"
,,"2011","113.9","122.2"
,,"2012","131.7","131.7"
,,"2013","122.3","127.9"
,,"2014","116.0","117.4"
,,"2015","116.7","114.8"
,,"2016","96.9","96.9"
,,"2017","84.1","89.1"
,,"2018","..","76.5"
,,"2019","..","63.5"
,"Administrative and support, waste management and remediation services  [56]","2010","331.1","349.2"
,,"2011","348.9","358.0"
,,"2012","375.1","375.1"
,,"2013","375.9","367.8"
,,"2014","395.7","378.9"
,,"2015","391.6","357.7"
,,"2016","429.7","376.2"
,,"2017","436.3","367.9"
,,"2018","..","358.2"
,,"2019","..","371.9"
,"Educational services  [61]","2010","1,480.2","1,610.0"
,,"2011","1,561.6","1,614.4"
,,"2012","1,637.7","1,637.7"
,,"2013","1,655.5","1,632.8"
,,"2014","1,672.0","1,627.0"
,,"2015","1,704.4","1,621.0"
,,"2016","1,777.5","1,616.4"
,,"2017","1,741.8","1,607.0"
,,"2018","..","1,622.8"
,,"2019","..","1,628.4"
,"Health care and social assistance  [62]","2010","2,048.8","2,193.6"
,,"2011","2,189.6","2,257.2"
,,"2012","2,257.6","2,257.6"
,,"2013","2,303.0","2,206.7"
,,"2014","2,372.9","2,201.1"
,,"2015","2,482.8","2,231.9"
,,"2016","2,579.3","2,263.1"
,,"2017","2,617.5","2,263.1"
,,"2018","..","2,279.4"
,,"2019","..","2,327.7"
,"Arts, entertainment and recreation  [71]","2010","73.5","71.8"
,,"2011","74.2","72.5"
,,"2012","73.9","73.9"
,,"2013","78.9","73.7"
,,"2014","73.7","72.5"
,,"2015","77.6","69.4"
,,"2016","92.1","73.1"
,,"2017","99.4","78.0"
,,"2018","..","81.3"
,,"2019","..","84.3"
,"Accommodation and food services  [72]","2010","410.2","429.0"
,,"2011","441.0","452.5"
,,"2012","466.3","466.3"
,,"2013","509.6","489.3"
,,"2014","540.9","507.9"
,,"2015","560.3","512.6"
,,"2016","573.6","514.7"
,,"2017","594.2","515.0"
,,"2018","..","516.4"
,,"2019","..","536.6"
,"Other services (except public administration)  [81]","2010","431.9","473.8"
,,"2011","453.6","479.0"
,,"2012","496.9","496.9"
,,"2013","491.1","517.8"
,,"2014","500.6","521.4"
,,"2015","510.4","528.2"
,,"2016","495.5","523.2"
,,"2017","518.2","527.3"
,,"2018","..","524.5"
,,"2019","..","526.1"
,"Public administration  [91]","2010","1,880.6","2,067.7"
,,"2011","2,048.3","2,111.7"
,,"2012","2,108.9","2,108.9"
,,"2013","2,163.4","2,090.5"
,,"2014","2,172.3","2,072.8"
,,"2015","2,225.4","2,103.3"
,,"2016","2,236.5","2,098.9"
,,"2017","2,321.8","2,146.9"
,,"2018","..","2,188.7"
,,"2019","..","2,203.1"
"Prince Edward Island","All industries  [T001] 10","2010","4,762.2","4,948.2"
,,"2011","4,941.8","5,043.5"
,,"2012","5,090.7","5,090.7"
,,"2013","5,257.0","5,187.4"
,,"2014","5,332.0","5,205.6"
,,"2015","5,551.8","5,280.7"
,,"2016","5,803.4","5,393.8"
,,"2017","6,156.5","5,635.9"
,,"2018","..","5,783.1"
,,"2019","..","6,076.8"
,"Goods-producing industries  [T002] 11","2010","1,044.2","1,078.8"
,,"2011","1,067.0","1,106.4"
,,"2012","1,111.2","1,111.2"
,,"2013","1,183.3","1,159.5"
,,"2014","1,172.0","1,153.8"
,,"2015","1,301.0","1,203.5"
,,"2016","1,462.7","1,262.5"
,,"2017","1,626.6","1,407.4"
,,"2018","..","1,441.9"
,,"2019","..","1,573.9"
,"Service-producing industries  [T003] 12","2010","3,718.0","3,869.4"
,,"2011","3,874.8","3,936.8"
,,"2012","3,979.5","3,979.4"
,,"2013","4,073.7","4,026.1"
,,"2014","4,160.0","4,050.2"
,,"2015","4,250.8","4,075.1"
,,"2016","4,340.7","4,126.9"
,,"2017","4,529.8","4,216.1"
,,"2018","..","4,328.7"
,,"2019","..","4,484.7"
,"Industrial production  [T010] 13","2010","503.6","450.8"
,,"2011","474.9","461.0"
,,"2012","477.3","477.3"
,,"2013","520.7","507.5"
,,"2014","564.7","557.1"
,,"2015","660.7","606.6"
,,"2016","748.1","633.1"
,,"2017","802.4","692.5"
,,"2018","..","727.6"
,,"2019","..","766.2"
,"Non-durable manufacturing industries  [T011] 14","2010","269.6","240.0"
,,"2011","264.5","248.2"
,,"2012","258.7","258.7"
,,"2013","289.9","285.9"
,,"2014","328.0","334.0"
,,"2015","375.1","343.9"
,,"2016","451.6","361.6"
,,"2017","451.1","379.1"
,,"2018","..","397.2"
,,"2019","..","425.5"
,"Durable manufacturing industries  [T012] 15","2010","145.8","132.3"
,,"2011","123.3","128.2"
,,"2012","134.6","134.6"
,,"2013","137.3","135.3"
,,"2014","140.6","129.7"
,,"2015","190.6","166.7"
,,"2016","193.5","170.0"
,,"2017","239.8","200.6"
,,"2018","..","213.8"
,,"2019","..","220.3"
,"Information and communication technology sector  [T013] 16","2010","158.0","164.8"
,,"2011","163.3","170.1"
,,"2012","173.3","173.3"
,,"2013","170.6","172.4"
,,"2014","180.4","178.8"
,,"2015","197.3","188.7"
,,"2016","197.2","197.8"
,,"2017","206.6","204.6"
,,"2018","..","213.9"
,,"2019","..","224.4"
,"Energy sector  [T016] 17","2010","70.1","60.2"
,,"2011","67.5","64.0"
,,"2012","62.8","62.8"
,,"2013","66.0","59.3"
,,"2014","68.5","64.6"
,,"2015","65.8","67.4"
,,"2016","71.7","70.0"
,,"2017","71.4","70.8"
,,"2018","..","74.6"
,,"2019","..","76.4"
,"Public sector  [T018] 18","2010","1,493.1","1,618.5"
,,"2011","1,572.5","1,652.7"
,,"2012","1,609.2","1,609.2"
,,"2013","1,634.9","1,601.6"
,,"2014","1,653.2","1,588.5"
,,"2015","1,683.3","1,597.4"
,,"2016","1,715.7","1,614.3"
,,"2017","1,799.5","1,644.5"
,,"2018","..","1,689.3"
,,"2019","..","1,743.0"
,"Cannabis sector  [T021] 19","2010","6.8","7.1"
,,"2011","7.4","7.5"
,,"2012","8.8","8.8"
,,"2013","9.6","9.7"
,,"2014","10.4","11.2"
,,"2015","11.9","13.9"
,,"2016","13.9","17.0"
,,"2017","15.7","20.2"
,,"2018","..","24.9"
,,"2019","..","39.0"
,"Agriculture, forestry, fishing and hunting  [11]","2010","242.4","322.8"
,,"2011","289.7","308.0"
,,"2012","330.0","330.0"
,,"2013","345.4","336.3"
,,"2014","320.4","335.0"
,,"2015","363.8","339.8"
,,"2016","406.1","342.4"
,,"2017","441.9","365.8"
,,"2018","..","367.5"
,,"2019","..","406.4"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","2.5","2.4"
,,"2011","2.5","2.5"
,,"2012","3.0","3.0"
,,"2013","3.2","2.9"
,,"2014","3.7","2.6"
,,"2015","3.4","1.8"
,,"2016","5.3","4.0"
,,"2017","5.4","4.3"
,,"2018","..","3.0"
,,"2019","..","3.2"
,"Utilities  [22]","2010","75.3","65.7"
,,"2011","73.1","69.8"
,,"2012","69.3","69.3"
,,"2013","78.6","70.2"
,,"2014","79.9","74.6"
,,"2015","80.3","78.1"
,,"2016","86.7","80.5"
,,"2017","95.2","92.0"
,,"2018","..","96.3"
,,"2019","..","98.5"
,"Construction  [23]","2010","308.5","320.8"
,,"2011","313.8","352.7"
,,"2012","315.6","315.6"
,,"2013","329.1","326.9"
,,"2014","299.5","267.7"
,,"2015","287.8","261.5"
,,"2016","319.4","291.4"
,,"2017","393.2","355.0"
,,"2018","..","352.8"
,,"2019","..","408.4"
,"Manufacturing  [31-33]","2010","415.4","371.5"
,,"2011","387.8","376.5"
,,"2012","393.3","393.3"
,,"2013","427.1","423.1"
,,"2014","468.5","468.1"
,,"2015","565.7","517.5"
,,"2016","645.2","538.9"
,,"2017","690.9","587.0"
,,"2018","..","618.8"
,,"2019","..","653.9"
,"Wholesale trade  [41]","2010","86.8","87.7"
,,"2011","97.2","97.4"
,,"2012","103.0","103.0"
,,"2013","117.1","118.7"
,,"2014","121.5","119.7"
,,"2015","113.2","110.3"
,,"2016","117.9","109.7"
,,"2017","122.8","107.8"
,,"2018","..","114.7"
,,"2019","..","123.6"
,"Retail trade  [44-45]","2010","352.7","359.9"
,,"2011","353.0","356.7"
,,"2012","365.1","365.1"
,,"2013","376.0","371.7"
,,"2014","379.5","373.4"
,,"2015","385.2","367.9"
,,"2016","402.9","382.7"
,,"2017","404.4","381.4"
,,"2018","..","388.8"
,,"2019","..","397.4"
,"Transportation and warehousing  [48-49]","2010","137.1","144.3"
,,"2011","149.4","151.7"
,,"2012","153.7","153.7"
,,"2013","160.8","155.3"
,,"2014","171.8","164.6"
,,"2015","188.5","172.4"
,,"2016","207.2","179.9"
,,"2017","221.9","191.0"
,,"2018","..","195.9"
,,"2019","..","209.6"
,"Information and cultural industries  [51]","2010","140.5","154.4"
,,"2011","144.2","154.7"
,,"2012","155.2","155.2"
,,"2013","165.5","155.5"
,,"2014","172.3","158.8"
,,"2015","180.0","166.2"
,,"2016","173.8","168.6"
,,"2017","173.0","168.8"
,,"2018","..","171.8"
,,"2019","..","178.8"
,"Finance and insurance  [52]","2010","256.8","260.8"
,,"2011","275.5","262.8"
,,"2012","266.3","266.3"
,,"2013","278.7","273.3"
,,"2014","294.3","275.0"
,,"2015","302.5","280.5"
,,"2016","303.9","287.0"
,,"2017","323.7","305.2"
,,"2018","..","312.3"
,,"2019","..","325.9"
,"Real estate and rental and leasing  [53]","2010","626.5","627.9"
,,"2011","645.0","646.8"
,,"2012","669.3","669.3"
,,"2013","682.9","679.6"
,,"2014","697.6","694.8"
,,"2015","719.2","708.8"
,,"2016","745.2","724.6"
,,"2017","774.1","746.8"
,,"2018","..","767.2"
,,"2019","..","797.3"
,"Professional, scientific and technical services  [54]","2010","137.3","135.4"
,,"2011","139.7","136.9"
,,"2012","138.1","138.1"
,,"2013","141.7","140.6"
,,"2014","141.7","143.6"
,,"2015","164.6","152.3"
,,"2016","178.3","161.1"
,,"2017","198.1","169.9"
,,"2018","..","178.1"
,,"2019","..","182.6"
,"Management of companies and enterprises  [55]","2010","36.3","38.1"
,,"2011","33.7","35.3"
,,"2012","35.2","35.2"
,,"2013","37.1","33.8"
,,"2014","36.1","31.2"
,,"2015","33.1","30.6"
,,"2016","27.3","24.8"
,,"2017","21.0","21.3"
,,"2018","..","18.2"
,,"2019","..","15.1"
,"Administrative and support, waste management and remediation services  [56]","2010","147.0","156.9"
,,"2011","152.6","155.5"
,,"2012","163.1","163.1"
,,"2013","150.4","166.6"
,,"2014","152.3","166.8"
,,"2015","144.4","149.0"
,,"2016","118.5","126.7"
,,"2017","120.8","121.5"
,,"2018","..","124.3"
,,"2019","..","130.7"
,"Educational services  [61]","2010","364.7","374.6"
,,"2011","380.7","388.4"
,,"2012","389.5","389.5"
,,"2013","393.6","389.9"
,,"2014","397.1","387.7"
,,"2015","401.8","390.5"
,,"2016","409.8","392.6"
,,"2017","420.0","402.5"
,,"2018","..","418.7"
,,"2019","..","435.2"
,"Health care and social assistance  [62]","2010","459.8","522.7"
,,"2011","492.5","532.3"
,,"2012","524.4","524.4"
,,"2013","540.7","520.7"
,,"2014","567.1","526.3"
,,"2015","594.4","530.2"
,,"2016","613.7","539.3"
,,"2017","636.8","548.3"
,,"2018","..","563.8"
,,"2019","..","584.8"
,"Arts, entertainment and recreation  [71]","2010","52.2","58.0"
,,"2011","55.4","57.3"
,,"2012","55.0","55.0"
,,"2013","56.5","61.0"
,,"2014","56.1","62.1"
,,"2015","51.7","56.3"
,,"2016","50.8","54.4"
,,"2017","51.7","54.4"
,,"2018","..","57.1"
,,"2019","..","60.7"
,"Accommodation and food services  [72]","2010","137.9","141.9"
,,"2011","140.4","143.3"
,,"2012","145.3","145.3"
,,"2013","155.0","154.4"
,,"2014","160.8","159.3"
,,"2015","164.8","167.5"
,,"2016","178.2","174.7"
,,"2017","188.4","177.3"
,,"2018","..","184.3"
,,"2019","..","188.4"
,"Other services (except public administration)  [81]","2010","113.8","116.3"
,,"2011","116.3","117.0"
,,"2012","120.9","120.9"
,,"2013","117.3","115.9"
,,"2014","123.0","117.5"
,,"2015","120.5","118.5"
,,"2016","120.9","118.4"
,,"2017","130.3","124.7"
,,"2018","..","124.0"
,,"2019","..","127.9"
,"Public administration  [91]","2010","668.6","690.8"
,,"2011","699.3","700.8"
,,"2012","695.3","695.3"
,,"2013","700.7","691.4"
,,"2014","689.0","673.8"
,,"2015","687.0","675.9"
,,"2016","692.2","681.3"
,,"2017","742.7","692.7"
,,"2018","..","705.8"
,,"2019","..","721.7"
"Nova Scotia","All industries  [T001] 10","2010","33,591.0","34,697.1"
,,"2011","34,263.0","34,805.2"
,,"2012","34,477.9","34,477.9"
,,"2013","35,123.6","34,383.8"
,,"2014","36,258.3","34,747.2"
,,"2015","37,028.1","35,013.4"
,,"2016","37,795.5","35,489.1"
,,"2017","39,329.1","36,213.8"
,,"2018","..","36,899.5"
,,"2019","..","37,808.1"
,"Goods-producing industries  [T002] 11","2010","7,155.0","7,678.6"
,,"2011","7,047.9","7,212.7"
,,"2012","6,855.0","6,855.0"
,,"2013","6,717.5","6,682.9"
,,"2014","7,022.5","6,711.6"
,,"2015","6,976.7","6,700.5"
,,"2016","7,232.8","6,805.8"
,,"2017","7,716.1","7,103.9"
,,"2018","..","7,197.8"
,,"2019","..","7,423.2"
,"Service-producing industries  [T003] 12","2010","26,436.0","27,008.4"
,,"2011","27,215.1","27,587.4"
,,"2012","27,622.9","27,622.8"
,,"2013","28,406.2","27,700.4"
,,"2014","29,235.7","28,035.4"
,,"2015","30,051.4","28,312.4"
,,"2016","30,562.6","28,683.1"
,,"2017","31,613.0","29,109.8"
,,"2018","..","29,701.6"
,,"2019","..","30,384.4"
,"Industrial production  [T010] 13","2010","4,359.5","4,351.0"
,,"2011","4,158.1","4,229.3"
,,"2012","3,850.6","3,850.6"
,,"2013","3,746.0","3,724.8"
,,"2014","4,072.4","3,815.2"
,,"2015","3,897.0","3,797.1"
,,"2016","3,894.1","3,814.3"
,,"2017","4,013.9","3,905.5"
,,"2018","..","4,226.8"
,,"2019","..","4,311.6"
,"Non-durable manufacturing industries  [T011] 14","2010","1,768.4","1,575.5"
,,"2011","1,672.5","1,637.3"
,,"2012","1,517.1","1,517.1"
,,"2013","1,512.6","1,492.4"
,,"2014","1,511.0","1,364.4"
,,"2015","1,554.8","1,357.3"
,,"2016","1,523.5","1,339.2"
,,"2017","1,599.0","1,360.5"
,,"2018","..","1,452.4"
,,"2019","..","1,473.5"
,"Durable manufacturing industries  [T012] 15","2010","1,109.1","1,063.6"
,,"2011","1,042.3","1,055.6"
,,"2012","1,071.2","1,071.2"
,,"2013","1,018.6","1,010.7"
,,"2014","1,066.1","1,031.2"
,,"2015","1,167.8","1,085.7"
,,"2016","1,189.5","1,125.0"
,,"2017","1,195.2","1,131.9"
,,"2018","..","1,200.4"
,,"2019","..","1,331.7"
,"Information and communication technology sector  [T013] 16","2010","1,341.0","1,429.6"
,,"2011","1,335.3","1,393.8"
,,"2012","1,401.3","1,401.3"
,,"2013","1,366.3","1,334.8"
,,"2014","1,453.1","1,407.5"
,,"2015","1,550.4","1,507.1"
,,"2016","1,583.2","1,579.5"
,,"2017","1,616.0","1,612.1"
,,"2018","..","1,692.9"
,,"2019","..","1,733.5"
,"Energy sector  [T016] 17","2010","1,456.0","1,624.1"
,,"2011","1,371.3","1,444.7"
,,"2012","1,176.0","1,176.0"
,,"2013","1,112.8","1,099.6"
,,"2014","1,274.6","1,133.6"
,,"2015","939.7","1,037.3"
,,"2016","937.6","1,010.0"
,,"2017","922.0","1,022.7"
,,"2018","..","1,063.8"
,,"2019","..","1,006.6"
,"Public sector  [T018] 18","2010","9,939.5","10,502.2"
,,"2011","10,347.1","10,746.3"
,,"2012","10,506.3","10,506.3"
,,"2013","10,943.3","10,417.6"
,,"2014","11,225.0","10,498.4"
,,"2015","11,397.3","10,456.2"
,,"2016","11,501.9","10,456.2"
,,"2017","11,797.5","10,478.6"
,,"2018","..","10,698.2"
,,"2019","..","10,970.3"
,"Cannabis sector  [T021] 19","2010","71.4","74.0"
,,"2011","77.4","78.8"
,,"2012","83.7","83.7"
,,"2013","92.2","93.1"
,,"2014","97.9","105.7"
,,"2015","98.4","116.0"
,,"2016","99.7","123.8"
,,"2017","90.7","122.2"
,,"2018","..","134.0"
,,"2019","..","130.2"
,"Agriculture, forestry, fishing and hunting  [11]","2010","785.3","904.9"
,,"2011","848.7","907.1"
,,"2012","913.0","913.0"
,,"2013","937.5","906.2"
,,"2014","1,019.5","949.3"
,,"2015","1,147.0","938.6"
,,"2016","1,241.9","879.8"
,,"2017","1,340.6","853.0"
,,"2018","..","835.9"
,,"2019","..","849.8"
,"Mining, quarrying, and oil and gas extraction  [21]","2010","794.5","739.4"
,,"2011","678.3","607.6"
,,"2012","450.5","450.5"
,,"2013","356.1","383.0"
,,"2014","591.7","575.7"
,,"2015","260.7","478.9"
,,"2016","224.9","484.0"
,,"2017","255.2","504.5"
,,"2018","..","735.2"
,,"2019","..","610.7"
,"Utilities  [22]","2010","606.6","838.1"
,,"2011","673.6","819.8"
,,"2012","725.1","725.1"
,,"2013","770.7","761.8"
,,"2014","807.9","763.2"
,,"2015","810.4","762.5"
,,"2016","847.2","749.6"
,,"2017","842.3","785.0"
,,"2018","..","815.4"
,,"2019","..","808.3"
,"Construction  [23]","2010","2,091.1","2,520.0"
,,"2011","2,132.5","2,159.4"
,,"2012","2,178.0","2,178.0"
,,"2013","2,121.9","2,137.2"
,,"2014","2,026.4","2,024.7"
,,"2015","2,036.0","2,056.1"
,,"2016","2,205.8","2,236.7"
,,"2017","2,483.7","2,520.2"
,,"2018","..","2,320.4"
,,"2019","..","2,452.9"
,"Manufacturing  [31-33]","2010","2,877.5","2,641.4"
,,"2011","2,714.8","2,697.6"
,,"2012","2,588.4","2,588.4"
,,"2013","2,531.2","2,503.8"
,,"2014","2,577.1","2,397.2"
,,"2015","2,722.5","2,442.5"
,,"2016","2,713.0","2,461.7"
,,"2017","2,794.2","2,490.4"
,,"2018","..","2,651.2"
,,"2019","..","2,796.7"
,"Wholesale trade  [41]","2010","1,260.5","1,090.3"
,,"2011","1,284.2","1,146.5"
,,"2012","1,098.7","1,098.8"
,,"2013","1,162.8","1,128.1"
,,"2014","1,255.2","1,175.2"
,,"2015","1,283.1","1,187.0"
,,"2016","1,250.0","1,156.5"
,,"2017","1,225.1","1,120.4"
,,"2018","..","1,144.6"
,,"2019","..","1,174.0"
,"Retail trade  [44-45]","2010","2,292.8","2,262.5"
,,"2011","2,195.8","2,236.3"
,,"2012","2,221.7","2,221.7"
,,"2013","2,257.0","2,275.6"
,,"2014","2,283.2","2,275.6"
,,"2015","2,425.4","2,303.9"
,,"2016","2,532.3","2,400.4"
,,"2017","2,628.6","2,444.9"
,,"2018","..","2,449.1"
,,"2019","..","2,467.5"
,"Transportation and warehousing  [48-49]","2010","1,083.3","1,170.2"
,,"2011","1,165.7","1,212.7"
,,"2012","1,162.7","1,162.7"
,,"2013","1,166.8","1,163.6"
,,"2014","1,228.6","1,211.2"
,,"2015","1,263.7","1,187.7"
,,"2016","1,284.2","1,233.9"
,,"2017","1,363.1","1,310.2"
,,"2018","..","1,351.9"
,,"2019","..","1,389.6"
,"Information and cultural industries  [51]","2010","1,114.1","1,230.2"
,,"2011","1,150.4","1,203.2"
,,"2012","1,228.4","1,228.4"
